work_id	person_id	title	subtitle	author	path
4576	000050	片しぐれ		泉鏡太郎	cards/000050/files/4576_ruby_74010/4576_ruby_74010.txt
4577	000050	三人の盲の話		泉鏡太郎	cards/000050/files/4577_ruby_76473/4577_ruby_76473.txt
4581	000050	淺茅生		泉鏡太郎	cards/000050/files/4581_ruby_76197/4581_ruby_76197.txt
4582	000050	印度更紗		泉鏡太郎	cards/000050/files/4582_ruby_74368/4582_ruby_74368.txt
4583	000050	霰ふる		泉鏡太郎	cards/000050/files/4583_ruby_74367/4583_ruby_74367.txt
4584	000050	艶書		泉鏡太郎	cards/000050/files/4584_ruby_44369/4584_ruby_44369.txt
4585	000050	二た面		泉鏡太郎	cards/000050/files/4585_ruby_44370/4585_ruby_44370.txt
4586	000050	魔法罎		泉鏡太郎	cards/000050/files/4586_ruby_44371/4586_ruby_44371.txt
4588	000050	十萬石		泉鏡太郎	cards/000050/files/4588_ruby_44345/4588_ruby_44345.txt
4589	000050	怪談女の輪		泉鏡花	cards/000050/files/4589_ruby_26476/4589_ruby_26476.txt
4590	000050	術三則		泉鏡花	cards/000050/files/4590_ruby_26479/4590_ruby_26479.txt
4591	000050	聞きたるまゝ		泉鏡花	cards/000050/files/4591_ruby_26478/4591_ruby_26478.txt
4592	000050	花間文字		泉鏡花	cards/000050/files/4592_ruby_26477/4592_ruby_26477.txt
4593	000050	妙齡		泉鏡花	cards/000050/files/4593_ruby_26480/4593_ruby_26480.txt
4594	000050	錢湯		泉鏡太郎	cards/000050/files/4594_ruby_44346/4594_ruby_44346.txt
4595	000050	松の葉		泉鏡太郎	cards/000050/files/4595_ruby_44348/4595_ruby_44348.txt
4596	000050	畫の裡		泉鏡太郎	cards/000050/files/4596_ruby_44347/4596_ruby_44347.txt
4597	000050	麥搗		泉鏡太郎	cards/000050/files/4597_ruby_44349/4597_ruby_44349.txt
4598	000214	朝		田山花袋	cards/000214/files/4598_ruby_15826/4598_ruby_15826.txt
4599	000291	晩菊		林芙美子	cards/000291/files/4599_ruby_16973/4599_ruby_16973.txt
4600	000081	タネリはたしかにいちにち噛んでいたようだった		宮沢賢治	cards/000081/files/4600_ruby_11839/4600_ruby_11839.txt
4601	000081	フランドン農学校の豚		宮沢賢治	cards/000081/files/4601_ruby_8284/4601_ruby_8284.txt
4602	000081	蜘蛛となめくじと狸		宮沢賢治	cards/000081/files/4602_ruby_8285/4602_ruby_8285.txt
4603	000271	美的生活を論ず		高山樗牛	cards/000271/files/4603_ruby_7317/4603_ruby_7317.txt
4604	000283	百姓弥之助の話	第一冊　植民地の巻	中里介山	cards/000283/files/4604_ruby_17325/4604_ruby_17325.txt
4608	000118	對州嚴原港にて		長塚節	cards/000118/files/4608_ruby_15337/4608_ruby_15337.txt
4609	000118	壹岐國勝本にて		長塚節	cards/000118/files/4609_ruby_15446/4609_ruby_15446.txt
4610	000118	我が庭		長塚節	cards/000118/files/4610_txt_15338/4610_txt_15338.txt
4611	000118	十日間		長塚節	cards/000118/files/4611_txt_14426/4611_txt_14426.txt
4612	000118	撃劍興行		長塚節	cards/000118/files/4612_txt_15335/4612_txt_15335.txt
4614	000879	ポーの片影		芥川龍之介	cards/000879/files/4614_ruby_6776/4614_ruby_6776.txt
4615	000118	芋掘り		長塚節	cards/000118/files/4615_ruby_13500/4615_ruby_13500.txt
4616	000118	商機		長塚節	cards/000118/files/4616_ruby_14839/4616_ruby_14839.txt
